-67,1654611376500
-67,1654611377171
-72,1654611379174
-62,1654611380506
-66,1654611381511
-70,1654611382509
-68,1654611383509
-67,1654611384509
-61,1654611385514
-61,1654611386508
-68,1654611387508
-65,1654611388509
-60,1654611389513
-60,1654611390516
-61,1654611391508
-64,1654611392515
-64,1654611393514
-62,1654611394509
-66,1654611396509
-68,1654611397509
-70,1654611398514
-70,1654611399508
-69,1654611401502
-61,1654611403506
-66,1654611404509
-65,1654611405507
-61,1654611406506
-60,1654611407509
-69,1654611408505
-77,1654611409509
-69,1654611410517
-63,1654611411514
-62,1654611412508
-62,1654611413514
-59,1654611414504
-59,1654611415514
-67,1654611416510
-64,1654611417515
-63,1654611419512
-65,1654611421509
-63,1654611422514
-65,1654611423509
-67,1654611424513
-62,1654611425504
-62,1654611426503
-64,1654611427518
-67,1654611428509
-67,1654611429509
-67,1654611430509
-63,1654611432509
-63,1654611433510
-66,1654611435505
-63,1654611436513
-64,1654611438523
-64,1654611439510
-63,1654611440512
-61,1654611441509
-62,1654611442515
-63,1654611444507
-62,1654611445510
-61,1654611446509
-61,1654611447509
-68,1654611449509
-62,1654611452510
-68,1654611454505
-66,1654611455509
-64,1654611456509
-63,1654611457508
-63,1654611458509
-64,1654611459513
-62,1654611460507
-62,1654611461507
-62,1654611462509
-64,1654611464504
-63,1654611465528
-61,1654611466507
-63,1654611467508
-60,1654611468509
-63,1654611470509
-62,1654611471510
-60,1654611472509
-61,1654611473510
-64,1654611474512
-63,1654611475509
-61,1654611476509
-61,1654611477509
-63,1654611478509
-64,1654611479510
-65,1654611480509
-61,1654611481510
-60,1654611482510
-64,1654611483509
-69,1654611485462
-67,1654611486461
-69,1654611487459
